Country Or Territory,Total City Population *,Year,Air Pollutant,Populated Area [km2],Air Pollution Average [ug/m3],Air Pollution Population Weighted Average [ug/m3],Premature Deaths
Austria,2405646,2005,NO2,446,30.3,32.8,903
Belgium,3030639,2005,NO2,745,32.4,35.1,1340
Bulgaria,3010927,2005,NO2,384,23.3,24.9,1225
Croatia,1100013,2005,NO2,195,26.6,28.0,429
Cyprus,418267,2005,NO2,131,20.3,21.0,61
Czechia,2464143,2005,NO2,536,26.4,27.6,831
Denmark,1490619,2005,NO2,400,22.5,24.1,394
Estonia,522560,2005,NO2,103,16.4,17.4,87
Finland,1188485,2005,NO2,427,21.1,21.9,230
France,21150065,2005,NO2,4382,29.9,34.2,7742
Germany,25479567,2005,NO2,6769,29.2,30.7,9800
Greece,5028484,2005,NO2,557,33.8,38.5,2510
Hungary,2785270,2005,NO2,577,26.4,28.3,1234
Ireland,1220552,2005,NO2,392,19.3,20.5,158
Italy,17439676,2005,NO2,4002,38.7,42.1,9965
Latvia,741235,2005,NO2,138,22.7,24.1,267
Lithuania,1068433,2005,NO2,181,19.8,20.8,258
Luxembourg,83390,2005,NO2,28,33.5,34.1,28
Malta,248805,2005,NO2,57,21.8,23.8,50
Netherlands,7635924,2005,NO2,1885,31.4,32.7,2642
Poland,11415909,2005,NO2,2178,23.0,24.3,2814
Portugal,3342853,2005,NO2,712,27.3,29.4,1213
Romania,6911176,2005,NO2,849,24.9,27.7,2698
Slovakia,745077,2005,NO2,159,22.8,23.8,181
Slovenia,289579,2005,NO2,76,27.9,29.3,91
Spain,21279144,2005,NO2,2439,29.8,34.3,8378
Sweden,2680823,2005,NO2,778,18.7,20.0,505
Austria,2405646,2005,O3,446,5315.4,5352.2,128
Belgium,3030639,2005,O3,745,2615.6,2477.7,80
Bulgaria,3010927,2005,O3,384,3982.8,3810.8,193
Croatia,1100013,2005,O3,195,5961.4,5992.8,87
Cyprus,418267,2005,O3,131,7568.4,7542.7,25
Czechia,2464143,2005,O3,536,5512.3,5460.2,154
Denmark,1490619,2005,O3,400,1910.1,1850.5,32
Estonia,522560,2005,O3,103,2016.6,1987.7,14
Finland,1188485,2005,O3,427,2094.1,2056.6,24
France,21150065,2005,O3,4382,4045.5,3814.6,753
Germany,25479567,2005,O3,6769,3385.0,3389.3,975
Greece,5028484,2005,O3,557,7240.7,7038.2,381
Hungary,2785270,2005,O3,577,5372.1,5311.0,219
Ireland,1220552,2005,O3,392,1233.5,1193.9,12
Italy,17439676,2005,O3,4002,7265.2,7011.8,1348
Latvia,741235,2005,O3,138,1486.8,1338.7,15
Lithuania,1068433,2005,O3,181,3316.7,3307.2,49
Luxembourg,83390,2005,O3,28,2617.6,2604.1,2
Malta,248805,2005,O3,57,7024.2,6957.2,15
Netherlands,7635924,2005,O3,1885,2419.2,2367.3,165
Poland,11415909,2005,O3,2178,4398.2,4352.9,522
Portugal,3342853,2005,O3,712,4545.6,4441.9,170
Romania,6911176,2005,O3,849,4278.5,4200.5,398
Slovakia,745077,2005,O3,159,5775.6,5752.5,46
Slovenia,289579,2005,O3,76,5616.5,5554.4,16
Spain,21279144,2005,O3,2439,5544.7,5211.5,1109
Sweden,2680823,2005,O3,778,2395.9,2381.8,72
Austria,2405646,2005,PM2.5,446,21.6,22.0,2504
Belgium,3030639,2005,PM2.5,745,19.0,19.3,2875
Bulgaria,3010927,2005,PM2.5,384,34.2,34.6,8572
Croatia,1100013,2005,PM2.5,195,25.5,25.5,1791
Cyprus,418267,2005,PM2.5,131,29.5,29.6,486
Czechia,2464143,2005,PM2.5,536,24.4,24.6,3390
Denmark,1490619,2005,PM2.5,400,13.4,13.2,873
Estonia,522560,2005,PM2.5,103,13.0,13.0,359
Finland,1188485,2005,PM2.5,427,10.3,10.4,399
France,21150065,2005,PM2.5,4382,17.4,18.0,15803
Germany,25479567,2005,PM2.5,6769,17.1,17.3,22047
Greece,5028484,2005,PM2.5,557,29.2,30.6,8154
Hungary,2785270,2005,PM2.5,577,26.1,26.2,5246
Ireland,1220552,2005,PM2.5,392,8.8,9.0,229
Italy,17439676,2005,PM2.5,4002,26.7,26.7,24896
Latvia,741235,2005,PM2.5,138,22.0,22.2,1211
Lithuania,1068433,2005,PM2.5,181,17.9,17.9,1153
Luxembourg,83390,2005,PM2.5,28,16.6,16.7,51
Malta,248805,2005,PM2.5,57,21.6,21.7,223
Netherlands,7635924,2005,PM2.5,1885,17.9,18.0,5720
Poland,11415909,2005,PM2.5,2178,24.4,24.6,13998
Portugal,3342853,2005,PM2.5,712,20.6,20.8,3684
Romania,6911176,2005,PM2.5,849,33.1,33.2,15309
Slovakia,745077,2005,PM2.5,159,24.5,24.5,931
Slovenia,289579,2005,PM2.5,76,25.5,25.6,357
Spain,21279144,2005,PM2.5,2439,19.2,19.8,19250
Sweden,2680823,2005,PM2.5,778,11.6,11.8,1315
Austria,2421172,2006,O3,446,5581.5,5608.0,135
Belgium,3049654,2006,O3,745,3850.6,3871.9,126
Bulgaria,2987742,2006,O3,384,3863.2,3754.5,190
Croatia,1100430,2006,O3,195,6569.2,6536.5,93
Cyprus,408121,2006,O3,126,5081.1,5089.3,15
Czechia,2470116,2006,O3,536,5611.7,5563.9,153
Denmark,1495043,2006,O3,400,3254.0,3187.1,53
Estonia,519426,2006,O3,103,3281.2,3295.3,24
Finland,1192790,2006,O3,427,2726.2,2697.3,32
France,21303965,2006,O3,4382,4721.3,4579.8,880
Germany,25460172,2006,O3,6769,4563.4,4571.2,1296
Greece,5044440,2006,O3,557,6502.9,6370.8,350
Hungary,2779487,2006,O3,577,5076.4,5013.1,201
Ireland,1249196,2006,O3,392,1969.5,1924.7,18
Italy,17496770,2006,O3,4002,8213.8,8039.3,1514
Latvia,734037,2006,O3,138,3156.7,3039.6,36
Lithuania,1047613,2006,O3,181,4119.0,4108.0,61
Luxembourg,84810,2006,O3,28,4950.7,4952.6,4
Malta,250245,2006,O3,57,7761.1,7732.3,17
Netherlands,7649360,2006,O3,1885,3161.7,3090.8,220
Poland,11410892,2006,O3,2178,4928.2,4861.1,588
Portugal,3348368,2006,O3,712,4262.6,4214.0,153
Romania,6870659,2006,O3,849,3983.9,3832.6,356
Slovakia,745112,2006,O3,159,5955.8,5932.9,48
Slovenia,290415,2006,O3,76,6664.2,6446.3,18
Spain,21629874,2006,O3,2439,5560.9,5427.6,1109
Sweden,2691640,2006,O3,778,3225.9,3173.2,96
Austria,2429586,2007,O3,446,5673.0,5810.1,138
Belgium,3070875,2007,O3,745,2191.0,2129.7,67
Bulgaria,2965540,2007,O3,384,4911.1,4777.2,241
Croatia,1100694,2007,O3,195,6337.9,6307.5,93
Cyprus,432445,2007,O3,131,6962.1,6911.6,23
Czechia,2477522,2007,O3,536,4746.2,4691.2,131
Denmark,1500450,2007,O3,400,2180.7,2163.6,38
Estonia,516435,2007,O3,103,1983.9,2000.5,14
Finland,1197640,2007,O3,427,1280.8,1274.8,14
France,21443942,2007,O3,4382,3429.1,3286.1,637
Germany,25422206,2007,O3,6769,3342.7,3365.9,967
Greece,5058784,2007,O3,557,8154.7,8192.4,466
Hungary,2776611,2007,O3,577,6372.0,6372.9,257
Ireland,1288368,2007,O3,392,997.3,956.8,9
Italy,17544848,2007,O3,4002,7405.6,7177.7,1385
Latvia,727764,2007,O3,138,2189.8,2164.0,25
Lithuania,1034922,2007,O3,181,2556.7,2539.7,39
Luxembourg,86094,2007,O3,28,3344.9,3343.7,3
Malta,250626,2007,O3,57,7114.6,7066.1,15
Netherlands,7660494,2007,O3,1885,1717.0,1652.2,118
Poland,11401455,2007,O3,2178,3883.4,3825.2,468
Portugal,3354934,2007,O3,712,4147.4,4121.4,154
Romania,6829767,2007,O3,849,5134.4,4987.6,456
Slovakia,745147,2007,O3,159,5920.6,5918.4,48
Slovenia,291433,2007,O3,76,6113.4,5985.3,17
Spain,22010634,2007,O3,2439,5702.4,5651.4,1202
Sweden,2711128,2007,O3,778,1632.9,1639.4,50
Austria,2429586,2007,PM2.5,446,16.9,17.3,1831
Belgium,3070875,2007,PM2.5,745,15.9,16.1,2194
Bulgaria,2965540,2007,PM2.5,384,30.5,30.9,7640
Croatia,1100694,2007,PM2.5,195,20.2,20.2,1379
Cyprus,432445,2007,PM2.5,131,23.7,23.7,377
Czechia,2477522,2007,PM2.5,536,17.6,17.8,2192
Denmark,1500450,2007,PM2.5,400,12.1,12.1,771
Estonia,516435,2007,PM2.5,103,10.8,10.8,265
Finland,1197640,2007,PM2.5,427,9.9,9.8,373
France,21443942,2007,PM2.5,4382,15.4,15.7,12898
Germany,25422206,2007,PM2.5,6769,13.9,14.0,16187
Greece,5058784,2007,PM2.5,557,22.2,22.2,5972
Hungary,2776611,2007,PM2.5,577,19.7,19.7,3670
Ireland,1288368,2007,PM2.5,392,6.8,6.8,106
Italy,17544848,2007,PM2.5,4002,22.3,22.1,20065
Latvia,727764,2007,PM2.5,138,13.2,13.2,604
Lithuania,1034922,2007,PM2.5,181,14.8,14.8,926
Luxembourg,86094,2007,PM2.5,28,13.2,13.2,39
Malta,250626,2007,PM2.5,57,17.6,17.6,169
Netherlands,7660494,2007,PM2.5,1885,16.4,16.5,4976
Poland,11401455,2007,PM2.5,2178,20.8,20.8,11808
Portugal,3354934,2007,PM2.5,712,15.6,15.6,2434
Romania,6829767,2007,PM2.5,849,26.6,26.7,11679
Slovakia,745147,2007,PM2.5,159,19.9,19.8,727
Slovenia,291433,2007,PM2.5,76,18.6,18.6,240
Spain,22010634,2007,PM2.5,2439,17.7,17.9,16926
Sweden,2711128,2007,PM2.5,778,10.4,10.5,1055
Austria,2436921,2008,O3,446,4845.0,4954.0,119
Belgium,3094762,2008,O3,745,2432.6,2488.7,81
Bulgaria,2944128,2008,O3,384,5141.9,5035.1,248
Croatia,1100297,2008,O3,195,5451.8,5429.1,79
Cyprus,442953,2008,O3,131,7921.7,7926.1,26
Czechia,2499074,2008,O3,536,4181.5,4161.0,114
Denmark,1508355,2008,O3,400,2791.0,2757.7,46
Estonia,514712,2008,O3,103,2086.7,2080.5,15
Finland,1202981,2008,O3,427,1887.2,1893.9,23
France,21565973,2008,O3,4382,3326.0,3178.9,630
Germany,25392272,2008,O3,6769,3521.3,3526.6,1027
Greece,5070211,2008,O3,557,9910.4,10208.3,571
Hungary,2770886,2008,O3,577,5540.4,5515.1,218
Ireland,1323291,2008,O3,392,1493.8,1439.2,13
Italy,17674162,2008,O3,4002,6209.0,6035.5,1197
Latvia,722154,2008,O3,138,2039.3,1940.1,21
Lithuania,1023017,2008,O3,181,3119.3,3131.6,45
Luxembourg,87471,2008,O3,28,3545.4,3544.6,3
Malta,251995,2008,O3,57,6460.1,6414.2,14
Netherlands,7682702,2008,O3,1885,2023.1,1983.9,138
Poland,11398510,2008,O3,2178,3680.6,3639.4,450
Portugal,3361541,2008,O3,712,3012.6,3051.2,113
Romania,6669762,2008,O3,849,4495.0,4324.6,395
Slovakia,745546,2008,O3,159,5214.5,5186.9,42
Slovenia,291417,2008,O3,76,5326.9,5194.2,15
Spain,22445234,2008,O3,2439,4833.3,4694.8,1005
Sweden,2731854,2008,O3,778,2262.0,2265.1,69
Austria,2436921,2008,PM2.5,446,18.3,19.1,2106
Belgium,3094762,2008,PM2.5,745,17.7,18.1,2679
Bulgaria,2944128,2008,PM2.5,384,34.4,34.9,8483
Croatia,1100297,2008,PM2.5,195,19.8,19.8,1335
Cyprus,442953,2008,PM2.5,131,26.3,26.3,415
Czechia,2499074,2008,PM2.5,536,18.5,18.7,2345
Denmark,1508355,2008,PM2.5,400,11.4,11.3,675
Estonia,514712,2008,PM2.5,103,8.9,8.8,166
Finland,1202981,2008,PM2.5,427,8.3,8.3,251
France,21565973,2008,PM2.5,4382,16.0,16.3,14004
Germany,25392272,2008,PM2.5,6769,15.0,15.1,18512
Greece,5070211,2008,PM2.5,557,24.0,24.3,6541
Hungary,2770886,2008,PM2.5,577,20.0,20.2,3694
Ireland,1323291,2008,PM2.5,392,10.0,10.0,260
Italy,17674162,2008,PM2.5,4002,21.6,21.4,19876
Latvia,722154,2008,PM2.5,138,19.7,19.7,999
Lithuania,1023017,2008,PM2.5,181,16.2,16.2,1012
Luxembourg,87471,2008,PM2.5,28,14.9,14.9,44
Malta,251995,2008,PM2.5,57,15.0,15.1,142
Netherlands,7682702,2008,PM2.5,1885,17.5,17.6,5542
Poland,11398510,2008,PM2.5,2178,23.0,23.0,13372
Portugal,3361541,2008,PM2.5,712,12.4,12.3,1710
Romania,6669762,2008,PM2.5,849,25.0,25.2,10984
Slovakia,745546,2008,PM2.5,159,21.2,21.4,787
Slovenia,291417,2008,PM2.5,76,19.6,19.8,257
Spain,22445234,2008,PM2.5,2439,15.0,15.3,13610
Sweden,2731854,2008,PM2.5,778,9.6,9.7,908
Austria,2444845,2009,NO2,446,27.8,30.3,835
Belgium,3119777,2009,NO2,745,30.0,33.0,1237
Bulgaria,2924206,2009,NO2,384,27.3,29.1,1501
Croatia,1099741,2009,NO2,195,23.2,24.5,354
Cyprus,454705,2009,NO2,131,23.9,24.4,77
Czechia,2518971,2009,NO2,536,23.7,25.0,710
Denmark,1518179,2009,NO2,400,18.6,20.0,280
Estonia,513672,2009,NO2,103,13.9,14.9,55
Finland,1208843,2009,NO2,427,17.2,18.1,165
France,21681612,2009,NO2,4382,27.6,32.1,7213
Germany,25325838,2009,NO2,6769,28.3,29.9,9709
Greece,5085708,2009,NO2,557,32.2,36.7,2431
Hungary,2766906,2009,NO2,577,24.7,26.5,1082
Ireland,1342159,2009,NO2,392,21.6,22.9,195
Italy,17778925,2009,NO2,4002,35.4,38.2,9201
Latvia,712606,2009,NO2,138,18.7,19.7,172
Lithuania,1013865,2009,NO2,181,15.8,16.7,157
Luxembourg,89225,2009,NO2,28,29.9,30.6,24
Malta,253907,2009,NO2,57,14.0,15.1,19
Netherlands,7720338,2009,NO2,1885,28.9,30.2,2320
Poland,11404557,2009,NO2,2178,21.8,23.2,2727
Portugal,3364621,2009,NO2,712,25.5,27.5,1072
Romania,6606679,2009,NO2,849,26.6,29.2,2898
Slovakia,746424,2009,NO2,159,25.6,26.3,210
Slovenia,294619,2009,NO2,76,26.3,27.5,83
Spain,22725526,2009,NO2,2439,26.1,30.5,7117
Sweden,2753695,2009,NO2,778,16.3,17.9,398
Austria,2444845,2009,O3,446,4590.3,4675.3,116
Belgium,3119777,2009,O3,745,2402.5,2244.1,73
Bulgaria,2924206,2009,O3,384,4754.8,4632.1,221
Croatia,1099741,2009,O3,195,5337.8,5306.7,79
Cyprus,454705,2009,O3,131,9664.1,9651.0,32
Czechia,2518971,2009,O3,536,4075.3,4065.8,118
Denmark,1518179,2009,O3,400,2006.4,1959.8,33
Estonia,513672,2009,O3,103,1650.4,1634.5,11
Finland,1208843,2009,O3,427,1414.6,1449.0,18
France,21681612,2009,O3,4382,3582.0,3354.5,676
Germany,25325838,2009,O3,6769,3201.0,3197.4,948
Greece,5085708,2009,O3,557,7537.9,7345.5,413
Hungary,2766906,2009,O3,577,6728.6,6670.4,266
Ireland,1342159,2009,O3,392,1160.1,1110.8,10
Italy,17778925,2009,O3,4002,6683.8,6369.3,1277
Latvia,712606,2009,O3,138,1388.8,1357.5,15
Lithuania,1013865,2009,O3,181,2218.2,2196.1,32
Luxembourg,89225,2009,O3,28,1978.1,1972.6,1
Malta,253907,2009,O3,57,5892.2,5859.7,13
Netherlands,7720338,2009,O3,1885,2212.8,2151.9,151
Poland,11404557,2009,O3,2178,3429.3,3390.4,426
Portugal,3364621,2009,O3,712,4195.3,4229.8,157
Romania,6606679,2009,O3,849,4524.7,4429.6,410
Slovakia,746424,2009,O3,159,5919.1,5914.9,46
Slovenia,294619,2009,O3,76,4431.9,4247.3,13
Spain,22725526,2009,O3,2439,5298.6,5074.9,1077
Sweden,2753695,2009,O3,778,1906.5,1899.9,55
Austria,2444845,2009,PM2.5,446,17.7,18.0,2010
Belgium,3119777,2009,PM2.5,745,19.2,19.6,2948
Bulgaria,2924206,2009,PM2.5,384,30.3,30.6,7219
Croatia,1099741,2009,PM2.5,195,21.5,21.8,1511
Cyprus,454705,2009,PM2.5,131,21.5,21.7,331
Czechia,2518971,2009,PM2.5,536,19.8,20.0,2633
Denmark,1518179,2009,PM2.5,400,11.5,11.4,688
Estonia,513672,2009,PM2.5,103,7.8,7.9,122
Finland,1208843,2009,PM2.5,427,8.4,8.5,268
France,21681612,2009,PM2.5,4382,17.7,18.5,16655
Germany,25325838,2009,PM2.5,6769,16.5,16.6,21540
Greece,5085708,2009,PM2.5,557,25.6,26.9,7352
Hungary,2766906,2009,PM2.5,577,21.1,21.3,3965
Ireland,1342159,2009,PM2.5,392,9.5,9.7,274
Italy,17778925,2009,PM2.5,4002,21.3,21.2,19778
Latvia,712606,2009,PM2.5,138,17.4,17.6,832
Lithuania,1013865,2009,PM2.5,181,13.8,13.7,774
Luxembourg,89225,2009,PM2.5,28,17.2,17.2,54
Malta,253907,2009,PM2.5,57,16.7,16.7,163
Netherlands,7720338,2009,PM2.5,1885,17.3,17.3,5380
Poland,11404557,2009,PM2.5,2178,23.4,23.6,14037
Portugal,3364621,2009,PM2.5,712,14.8,15.2,2373
Romania,6606679,2009,PM2.5,849,21.7,21.9,9442
Slovakia,746424,2009,PM2.5,159,20.8,20.8,758
Slovenia,294619,2009,PM2.5,76,22.5,22.9,315
Spain,22725526,2009,PM2.5,2439,15.3,15.6,14075
Sweden,2753695,2009,PM2.5,778,8.3,8.6,683
Austria,2449723,2010,NO2,446,29.1,32.0,899
Belgium,3144965,2010,NO2,745,30.8,33.5,1279
Bulgaria,2906441,2010,NO2,384,25.0,26.8,1350
Croatia,1097969,2010,NO2,195,25.1,26.5,398
Cyprus,467377,2010,NO2,131,19.3,20.4,55
Czechia,2527742,2010,NO2,536,25.1,26.4,770
Denmark,1524594,2010,NO2,400,18.8,20.5,294
Estonia,512730,2010,NO2,103,15.0,16.0,66
Finland,1214543,2010,NO2,427,18.5,19.3,192
France,21785655,2010,NO2,4382,27.7,31.8,7185
Germany,25264126,2010,NO2,6769,28.0,29.8,9696
Greece,5096959,2010,NO2,557,25.4,29.0,1767
Hungary,2762313,2010,NO2,577,27.0,28.9,1244
Ireland,1350501,2010,NO2,392,22.7,24.3,205
Italy,17836054,2010,NO2,4002,32.3,35.0,8141
Latvia,698661,2010,NO2,138,22.1,23.4,238
Lithuania,1000527,2010,NO2,181,17.3,18.3,197
Luxembourg,90773,2010,NO2,28,28.8,29.7,24
Malta,255823,2010,NO2,57,15.2,16.8,24
Netherlands,7762113,2010,NO2,1885,28.6,29.8,2315
Poland,11370771,2010,NO2,2178,23.0,24.3,2923
Portugal,3367956,2010,NO2,712,25.4,27.2,1076
Romania,6559622,2010,NO2,849,26.6,29.3,2948
Slovakia,747534,2010,NO2,159,23.2,24.1,186
Slovenia,296739,2010,NO2,76,26.0,27.6,84
Spain,22847104,2010,NO2,2439,25.5,29.9,6853
Sweden,2778784,2010,NO2,778,19.0,20.5,521
Austria,2449723,2010,O3,446,4514.3,4533.3,113
Belgium,3144965,2010,O3,745,2361.8,2326.9,78
Bulgaria,2906441,2010,O3,384,3807.7,3706.3,183
Croatia,1097969,2010,O3,195,4821.8,4753.0,71
Cyprus,467377,2010,O3,131,7076.8,7092.4,22
Czechia,2527742,2010,O3,536,3915.1,3883.3,110
Denmark,1524594,2010,O3,400,2001.2,1990.6,33
Estonia,512730,2010,O3,103,2885.2,2915.8,19
Finland,1214543,2010,O3,427,2148.5,2187.8,28
France,21785655,2010,O3,4382,3860.5,3751.2,754
Germany,25264126,2010,O3,6769,3440.9,3444.5,1017
Greece,5096959,2010,O3,557,7849.0,7888.2,446
Hungary,2762313,2010,O3,577,3970.0,3918.4,156
Ireland,1350501,2010,O3,392,1001.7,956.9,7
Italy,17836054,2010,O3,4002,6265.1,6057.7,1210
Latvia,698661,2010,O3,138,2137.0,2051.5,22
Lithuania,1000527,2010,O3,181,2188.4,2152.4,30
Luxembourg,90773,2010,O3,28,3290.6,3287.1,2
Malta,255823,2010,O3,57,6669.9,6606.6,14
Netherlands,7762113,2010,O3,1885,1802.3,1747.4,122
Poland,11370771,2010,O3,2178,2936.0,2874.4,360
Portugal,3367956,2010,O3,712,4247.2,4317.4,164
Romania,6559622,2010,O3,849,2223.4,2171.3,205
Slovakia,747534,2010,O3,159,4576.1,4539.7,37
Slovenia,296739,2010,O3,76,5380.9,5124.4,15
Spain,22847104,2010,O3,2439,5759.8,5665.3,1192
Sweden,2778784,2010,O3,778,1844.1,1830.2,57
Austria,2449723,2010,PM2.5,446,20.1,21.0,2436
Belgium,3144965,2010,PM2.5,745,19.2,19.6,2994
Bulgaria,2906441,2010,PM2.5,384,28.6,28.9,6950
Croatia,1097969,2010,PM2.5,195,21.7,21.7,1505
Cyprus,467377,2010,PM2.5,131,22.7,22.7,340
Czechia,2527742,2010,PM2.5,536,22.8,23.0,3100
Denmark,1524594,2010,PM2.5,400,11.7,11.7,710
Estonia,512730,2010,PM2.5,103,9.3,9.2,177
Finland,1214543,2010,PM2.5,427,8.6,8.6,292
France,21785655,2010,PM2.5,4382,17.7,18.1,16354
Germany,25264126,2010,PM2.5,6769,17.3,17.4,23089
Greece,5096959,2010,PM2.5,557,21.8,22.1,5911
Hungary,2762313,2010,PM2.5,577,22.2,22.5,4262
Ireland,1350501,2010,PM2.5,392,11.3,11.3,349
Italy,17836054,2010,PM2.5,4002,19.6,19.5,17769
Latvia,698661,2010,PM2.5,138,17.3,17.4,828
Lithuania,1000527,2010,PM2.5,181,17.9,17.9,1139
Luxembourg,90773,2010,PM2.5,28,16.2,16.2,51
Malta,255823,2010,PM2.5,57,13.9,14.0,118
Netherlands,7762113,2010,PM2.5,1885,17.9,17.9,5708
Poland,11370771,2010,PM2.5,2178,29.0,29.0,17528
Portugal,3367956,2010,PM2.5,712,11.3,11.2,1483
Romania,6559622,2010,PM2.5,849,18.8,19.3,8190
Slovakia,747534,2010,PM2.5,159,22.1,22.1,830
Slovenia,296739,2010,PM2.5,76,20.6,20.6,276
Spain,22847104,2010,PM2.5,2439,12.7,13.0,10597
Sweden,2778784,2010,PM2.5,778,8.3,8.5,665
Austria,2456627,2011,O3,446,5108.4,5224.5,129
Belgium,3191601,2011,O3,745,2577.7,2545.1,85
Bulgaria,2885947,2011,O3,384,4224.7,4124.0,200
Croatia,1094653,2011,O3,195,5755.7,5692.4,82
Cyprus,479137,2011,O3,131,8358.5,8374.0,28
Czechia,2533698,2011,O3,536,4285.0,4235.0,120
Denmark,1531725,2011,O3,400,2673.0,2688.0,44
Estonia,511334,2011,O3,103,2273.3,2283.6,15
Finland,1219955,2011,O3,427,1992.5,1973.4,24
France,21893599,2011,O3,4382,4151.6,4025.6,804
Germany,24776402,2011,O3,6769,3352.9,3362.4,997
Greece,5098841,2011,O3,557,9354.8,9433.5,543
Hungary,2754426,2011,O3,577,5466.8,5422.4,213
Ireland,1356870,2011,O3,392,930.1,912.3,9
Italy,17888649,2011,O3,4002,7483.6,7166.6,1436
Latvia,683537,2011,O3,138,2454.4,2346.4,24
Lithuania,972062,2011,O3,181,2886.0,2871.3,40
Luxembourg,92540,2011,O3,28,3208.3,3200.6,2
Malta,256418,2011,O3,57,7068.8,6974.7,16
Netherlands,7799960,2011,O3,1885,2195.8,2137.7,151
Poland,11382687,2011,O3,2178,3694.5,3624.6,443
